,Unnamed: 0,id,comment,original_comment,score,data_scale,data_source,created_at,date,day,month,is_mf,device,family,is_b2b,reason,browser,category,language,platform,provider,first_order,nb_articles,csat_presales,shipping_fees,bv_transaction,payment_method,operating_system,last_paid_channel,has_presales_contact,shipping_fees_bucket,bv_transaction_bucket,has_manodvisor_contact,themes,tags,shipment
1125,1125,295563055,If the delivery is as good as the ordering I will be well pleased,If the delivery is as good as the ordering I will be well pleased,10,NPS,Customer Effort Score,2021-08-02T15:22:57.000Z,2021-08-02,lundi,août,False,tablet,Jardin piscine,False,,Chrome 92.0.4515,Mobilier de jardin et jeux,English,GB,tectake (GB),True,1,FALSE,0,"131,51",visa,Android 11,DIRECT_ACCESS,False,0,101 - 150,False,Delivery > Quality > 0,,True
1174,1174,295563054,"Product selection, delivery options, product information.","Choix des produits, options de livraison, informations sur les produits.",10,NPS,Customer Effort Score,2021-08-02T16:08:48.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 91.0.4472,Mobilier de jardin et jeux,French,FR,VOUNOT (FR),False,3,FALSE,0,"287,54",oney3x,Windows 10,SEM,False,0,201 - 300,False,Product > Range > 1;Product > Instructions Detail > 1;Delivery > Delivery Options > 1,,True
1200,1200,295563472,"easy to order, delivery dates very reasonable","easy to order, delivery dates very reasonable",10,NPS,Customer Effort Score,2021-08-02T16:24:43.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Edge 92.0.902,Mobilier de jardin et jeux,English,GB,Aosom (GB),True,1,FALSE,0,"179,99",mastercard,Windows 10,RETARGETING,False,0,151 - 200,False,Delivery > Timeliness > 1;Online Experience > Ease of Use > 1,,True
1262,1262,295562317,too expensive delivery price,prix de la livraison trop cher,0,NPS,Customer Effort Score,2021-08-02T17:33:35.000Z,2021-08-02,lundi,août,False,desktop,"Salle de bain, WC",False,J'ai eu des difficultés à utiliser mon code promo | J’ai manqué d’options pour me faire livrer,Chrome 91.0.4472,Accessoire de salle de bain,French,FR,ID Market (FR),False,1,FALSE,"13,9","35,89",visa,Windows 10,SEO-BRAND,False,11 - 20,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Options; Detractor - Using Coupons,True
1276,1276,295565656,I changed delivery address for this product to deliver 45 hamlet of the rock 45210 merinville,"J'ai changé d adresse de livraison pour ce produit a livrer 
45 hameau de la roche 
45210 merinville",6,NPS,Customer Effort Score,2021-08-02T17:56:20.000Z,2021-08-02,lundi,août,False,phone,Mobilier d'intérieur,False,J’ai manqué d’options pour me faire livrer,Chrome Mobile 80.0.3987,Décoration,French,FR,Petit Bazar (FR),False,1,FALSE,"13,9","94,63",visa,Android 10,SEM,False,11 - 20,1 - 100,False,Account > Address Management > -1,Detractor '- Delivery Options,True
1486,1486,295563533,Didn’t recognise new address as a new build had to arrange delivery elsewhere,Didn’t recognise new address as a new build had to arrange delivery elsewhere,4,NPS,Customer Effort Score,2021-08-03T07:11:23.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,My payment method didn't work as expected,Mobile Safari 14.1.2,Meuble de salon,English,GB,Right Deals UK Ltd (GB),True,1,FALSE,0,"119,95",mastercard,iOS 14.7.1,DIRECT_ACCESS,False,0,101 - 150,False,Account > Address Management > -1,Detractor '- Difficulty Paying,True
1502,1502,295564180,Fast delivery time,Plazo de entrega rápido,10,NPS,Customer Effort Score,2021-08-03T07:33:12.000Z,2021-08-03,mardi,août,False,desktop,Outillage,False,,Edge 92.0.902,Outillage spécialisé,Spanish,ES,Rocket Tools (ES),False,1,FALSE,0,"189,9",visa,Windows 10,SHOPBOT,False,0,151 - 200,False,Delivery > Speed of delivery > 1,,True
1504,1504,295563352,no choice of delivery mode. Relay point can be more convenient than at home sometimes,pas de choix de mode de livraison. Point relais peut être plus pratique que à domicile parfois,7,NPS,Customer Effort Score,2021-08-03T07:36:08.000Z,2021-08-03,mardi,août,False,desktop,Outillage,False,,Chrome 92.0.4515,Outillage spécialisé,French,FR,Made4home (FR),True,1,FALSE,0,"40,9",visa,Windows 10,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Drop-off point > 0,,True
1513,1513,295562270,Looks like fast delivery. I hope it is. Found everything I needed in one place,Looks like fast delivery. I hope it is. Found everything I needed in one place,10,NPS,Customer Effort Score,2021-08-03T07:58:19.000Z,2021-08-03,mardi,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Mobilier de jardin et jeux,English,GB,Aosom (GB),True,2,FALSE,0,"45,74",visa,iOS 14.6,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Speed of delivery > 1;Product > Stock / Availability > 1,,True
1540,1540,295562095,a lot of choice and fast delivery,beaucoup de choix et livraison rapide,10,NPS,Customer Effort Score,2021-08-03T08:51:28.000Z,2021-08-03,mardi,août,False,desktop,Plomberie chauffage,False,,Edge 92.0.902,Chauffage et climatisation,French,FR,Multitanks (FR),False,1,FALSE,0,"44,55",mastercard,Windows 10,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Speed of delivery > 1;Product > Range > 1,,True
1572,1572,295563274,"easy ordering, now to see for delivery and assembly!","la commande facile, maintenant à voir pour la livraison et le montage !",10,NPS,Customer Effort Score,2021-08-03T09:30:16.000Z,2021-08-03,mardi,août,False,desktop,Jardin piscine,False,,Firefox 90.0,Serre de jardin et accessoires de culture,French,FR,Deuba (FR),True,1,FALSE,0,"39,99",visa,Windows 7,DIRECT_ACCESS,False,0,1 - 100,False,Online Experience > Ease of Use > 1;Product > Ease of Assembly > 1,,True
1586,1586,295564247,Ok Waiting for delivery to evaluate,"Ok 
Attente livraison pour évaluer",8,NPS,Customer Effort Score,2021-08-03T09:43:51.000Z,2021-08-03,mardi,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Mobilier de jardin et jeux,French,FR,Cémonjardin (FR),False,2,FALSE,0,"251,78",visa,iOS 14.6,SHOPBOT,False,0,201 - 300,False,Delivery > Speed of delivery > 0,,True
1606,1606,295562362,In addition free shipping!!!,En plus livraison gratuite !!!,10,NPS,Customer Effort Score,2021-08-03T10:05:29.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Mobile Safari 14.1.1,Décoration,French,FR,Toututile (FR),False,1,FALSE,0,"9,22",visa,iOS 14.6,SHOPBOT,False,0,1 - 100,False,Delivery > Shipping Fees > 1,,True
1648,1648,295562789,Easy but very expensive delivery,Facile mais livraison très cher,9,NPS,Customer Effort Score,2021-08-03T11:04:40.000Z,2021-08-03,mardi,août,False,tablet,Jardin piscine,False,,Facebook,Serre de jardin et accessoires de culture,French,FR,ID Market (FR),True,1,FALSE,"21,9","91,89",mastercard,iOS 14.6,RETARGETING,False,20 - 50,1 - 100,False,Delivery > Shipping Fees > -1;Online Experience > Ease of Use > 1,,True
1660,1660,295565691,"Waiting the basket in order to allow to reflect, clear information on the product, ergonomics of the pleasant site. Easy command, good responsiveness to forget password. And very pleasant free shipping. We always enjoy this site!","Mise en attente du panier afin de permettre de réfléchir, des infos claires sur le produit, ergonomie du site agréable. Commande facilitée, bonne réactivité pour oubli du mot de passe. Et très agréable gratuité des frais de port. Nous apprėcions toujours autant ce site !",9,NPS,Customer Effort Score,2021-08-03T11:23:39.000Z,2021-08-03,mardi,août,False,desktop,"Salle de bain, WC",False,,Safari 14.1.1,Meuble de salle de bain,French,FR,Songmics (FR),False,1,FALSE,0,"67,99",mastercard,Mac OS X 10.15.6,EMAIL,False,0,1 - 100,False,Online Experience > Quality > 1;Online Experience > Ease of Use > 1;Online Experience > Design / Layout > 1,,True
1700,1700,295563387,It's all right for now. I'm waiting for delivery to find out more.,Tout va bien pour l instant. J attends la livraison pour savoir plus.,10,NPS,Customer Effort Score,2021-08-03T12:23:40.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Décoration,French,FR,Bares (FR),False,3,FALSE,0,"43,04",visa,Android 11,SHOPBOT,False,0,1 - 100,False,Service > General Satisfaction > 1,,True
1734,1734,295561919,"For now everything is perfect, we will see at the delivery of the product","Pour le moment tout est parfait ,on verra à  la livraison du produit",10,NPS,Customer Effort Score,2021-08-03T13:12:39.000Z,2021-08-03,mardi,août,False,tablet,Jardin piscine,False,,Chrome 92.0.4515,Bassin et décoration de jardin,French,FR,CentraleBrico (FR),True,1,FALSE,"10,4","79,4",visa,Android 7.0,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,True
1766,1766,295562814,"first time, let's see how it looks with the delivery...","erste Mal, mal sehen wie es mit der Lieferung aussieht...",9,NPS,Customer Effort Score,2021-08-03T13:53:10.000Z,2021-08-03,mardi,août,False,desktop,Mobilier d'intérieur,False,,Edge 91.0.864,Meuble d'entrée,German,DE,GarPet (DE),True,1,FALSE,0,"12,99",paypal,Windows 10,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Speed of delivery > 0,,True
1772,1772,295564150,Pity the delivery charge is expensive more than product,Pity the delivery charge is expensive more than product,10,NPS,Customer Effort Score,2021-08-03T13:59:52.000Z,2021-08-03,mardi,août,False,tablet,Electricité,False,,Amazon Silk 91.4.3,Alimentation,English,GB,Electropapa (GB),True,1,FALSE,"8,6","17,11",visa,Android 9,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > -1,,True
1780,1780,295563296,"Fast shipping and free shipping, it's perfect!","Envoi rapide et livraison gratuite, c'est parfait !",9,NPS,Customer Effort Score,2021-08-03T14:08:40.000Z,2021-08-03,mardi,août,False,desktop,Outillage,False,,Chrome 92.0.4515,Outillage électroportatif,French,FR,Espace-B (FR),False,1,FALSE,0,"79,57",paypal,Windows 10,SEO-BRAND,False,0,1 - 100,False,Delivery > Shipping Fees > 1;Delivery > Speed of delivery > 1,,True
1801,1801,295562544,the shipping costs are not necessarily logical and adapted in relation to certain products: ex of a product at €5.95 where the shipping cost is €10.90...,les frais de port sont pas forcément logiques et adaptés par rapport à certains produits : ex d'un produit à 5.95 € où le frais de port est à 10.90 €...,9,NPS,Customer Effort Score,2021-08-03T14:36:27.000Z,2021-08-03,mardi,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,"Portail, grillage et occultation",French,FR,ID Market (FR),False,3,FALSE,"36,3","169,13",visa,Windows 10,DIRECT_ACCESS,False,20 - 50,151 - 200,False,Delivery > Shipping Fees > -1,,True
1863,1863,295562451,Simple and efficient fast purchase Only flat...the shipping costs quite high due to my purchase (small volume and small price),"Achat rapide simple et efficace
Seul bémol…les frais de port assez élevés vu mon achat (petit volume et  petit prix)",10,NPS,Customer Effort Score,2021-08-03T16:08:14.000Z,2021-08-03,mardi,août,False,phone,Luminaire,False,,Mobile Safari 14.1.1,Eclairage d'intérieur,French,FR,Ledkia (FR),True,1,FALSE,"7,95","33,74",mastercard,iOS 14.6,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > -1;Service > Efficiency / Reliability > 1;Online Experience > Ease of Use > 1,,True
1864,1864,295563900,Not sure why I had to pay delivery on less expensive item when my total was over £250,Not sure why I had to pay delivery on less expensive item when my total was over £250,8,NPS,Customer Effort Score,2021-08-03T16:10:03.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Meuble de salon,English,GB,Living and Home (GB),True,4,FALSE,"4,99","257,11",mastercard,Android 10,SHOPBOT,False,1 - 5,201 - 300,False,Delivery > Shipping Fees > -1,,True
1896,1896,295562152,Overly high delivery costs,Frais de livraison trop elevés,8,NPS,Customer Effort Score,2021-08-03T16:34:04.000Z,2021-08-03,mardi,août,False,desktop,Jardin piscine,False,,Firefox 90.0,Matériel d'arrosage et récupérateurs d'eau,French,FR,GT GROUP (FR),False,1,FALSE,"7,9","33,8",paypal,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > -1,,True
1904,1904,295562902,We'll see what delivery looks like.,Todo muy bien y fácil. Veremos cómo es la entrega.,9,NPS,Customer Effort Score,2021-08-03T16:48:52.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Meuble d'entrée,Spanish,ES,Songmics (ES),True,1,FALSE,0,"29,99",mastercard,Android 11,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Speed of delivery > 0,,True
1914,1914,295562800,I always buy on ManoMano.find what I need and fast shipping.,Compro sempre su manomano .trovo quello che mi serve e spedizioni veloci .,10,NPS,Customer Effort Score,2021-08-03T16:56:08.000Z,2021-08-03,mardi,août,False,phone,Construction matériaux,False,,Chrome Mobile 90.0.4430,Menuiserie,Italian,IT,Giordanoshop (IT),False,1,FALSE,0,"208,9",mastercard,Android 11,SHOPBOT,False,0,201 - 300,False,Delivery > Speed of delivery > 1;Product > Stock / Availability > 1,,True
1989,1989,295562900,"Stress free ordering, free delivery as well, nice one, thank you","Stress free ordering, free delivery as well, nice one, thank you",9,NPS,Customer Effort Score,2021-08-03T18:52:00.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Meuble de salle à manger ,English,GB,Cosy Homes (GB),True,1,FALSE,0,"169,99",paypal,Android 11,SHOPBOT,False,0,151 - 200,False,Delivery > Shipping Fees > 1,,True
2041,2041,295561832,"All right on the web, we need to see the delivery and quality of the products.","Todo bien en la web, falta ver la entrega y la calidad de los productos.",10,NPS,Customer Effort Score,2021-08-03T20:43:10.000Z,2021-08-03,mardi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Meuble de bureau,Spanish,ES,Made4Home (ES),True,2,FALSE,0,"205,98",mastercard,Android 11,RETARGETING,False,0,201 - 300,False,Online Experience > Quality > 1;Product > Quality > 0;Delivery > Quality > 0,,True
2075,2075,295562583,Excellent price and speed of delivery,Ottimo prezzo e celerità di consegna,10,NPS,Customer Effort Score,2021-08-03T22:19:31.000Z,2021-08-03,mardi,août,True,phone,Jardin piscine,False,,Chrome Mobile 92.0.4515,Mobilier de jardin et jeux,Italian,IT,Aosom MF IT (IT),False,1,FALSE,0,"23,23",visa,Android 10,SEM,False,0,1 - 100,False,Delivery > Speed of delivery > 1;Product > Value for Money > 1,,True
2117,2117,295563457,"Ordering was easy, fast and straightforward. I hope the delivery works out as well.","Bestellung war einfach, schnell und unkompliziert.
Ich hoffe, die Lieferung klappt auch so gut.",10,NPS,Customer Effort Score,2021-08-04T06:39:03.000Z,2021-08-04,mercredi,août,False,desktop,Jardin piscine,False,,Firefox 90.0,Barbecue et plancha,German,DE,relaxdays (DE),False,2,FALSE,0,"29,8",paypal,Windows 10,EMAIL,False,0,1 - 100,False,Online Experience > Ease of Use > 1;Delivery > Quality > 0,,True
2123,2123,295563548,"Very simple, free delivery","Très simple,  livraison offerte",10,NPS,Customer Effort Score,2021-08-04T06:57:58.000Z,2021-08-04,mercredi,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile 92.0.4515,Meuble de salon,French,FR,Hucoco (FR),True,1,FALSE,0,"87,95",visa,Android 11,DIRECT_ACCESS,False,0,1 - 100,False,Delivery > Shipping Fees > 1;Online Experience > Ease of Use > 1,,True
2156,2156,295563358,Too long delivery time,Tempi troppo lunghi di consegna,7,NPS,Customer Effort Score,2021-08-04T07:40:11.000Z,2021-08-04,mercredi,août,False,phone,Animalerie,False,,Google 170.0.386351093,Chien,Italian,IT,A Super Mall (IT),False,1,FALSE,0,"45,98",visa,iOS 14.5,SHOPBOT,False,0,1 - 100,False,Delivery > Speed of delivery > -1,,True
2160,2160,295563175,"The convenient chat, the very fast order, shipping costs justified only if the time respected. Good.","Le Tchat pratique, la commande très rapide, frais de port justifié seulement si le délai respecté.Bien",8,NPS,Customer Effort Score,2021-08-04T07:48:11.000Z,2021-08-04,mercredi,août,False,desktop,Outillage,False,,Chrome 92.0.4515,Matériel et aménagement de l'atelier,French,FR,Maxter Accessoires (FR),False,1,FALSE,"6,9","48,8",paypal,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > 0;Delivery > Timeliness > 1;Order > Quality > 1,,True
2234,2234,295563777,I would have liked to know the shipping costs before ordering,j'aurais aimé connaitre les frais de livraison avant de commander,3,NPS,Customer Effort Score,2021-08-04T09:27:13.000Z,2021-08-04,mercredi,août,False,desktop,Electricité,False,J’ai manqué d’options pour me faire livrer,Firefox 90.0,Tableau électrique,French,FR,Alliancelec (FR),True,1,FALSE,"3,99","52,49",visa,Windows 10,SHOPBOT,False,1 - 5,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Options,True
2239,2239,295565697,Often bcp of problems for delivery delays and receipt of parcels,Souvent bcp de problemes pour les delais de livraison  et  reception des colis,8,NPS,Customer Effort Score,2021-08-04T09:33:16.000Z,2021-08-04,mercredi,août,False,phone,Animalerie,False,,Samsung Internet 14.2,Chien,French,FR,Animalis (FR),False,1,FALSE,0,"47,95",visa,Android 11,SHOPBOT,False,0,1 - 100,False,Delivery > Timeliness > -1,,True
2243,2243,295563546,Estimated delivery between the 9/08/2021 and the 30/08/20201 too vague!!! But good information provided by your operator Sophie.,"Livraison estimée
entre le 9/08/2021 et le 30/08/2021 trop vague !!!!!!
Mais bonnes infos fournies par votre opératrice Sophie.",5,NPS,Customer Effort Score,2021-08-04T09:34:57.000Z,2021-08-04,mercredi,août,False,desktop,Quincaillerie,False,J’ai manqué d’options pour me faire livrer,Chrome 92.0.4515,Manutention et levage,French,FR,FP Outillage (FR),False,1,FALSE,"13,99","98,28",mastercard,Windows 10,SEM,False,11 - 20,1 - 100,False,Support > Attitude of staff > 1,Detractor '- Delivery Options,True
2269,2269,295563963,perfect. fast delivery,PERFECTO. ENTREGA RÁPIDA,8,NPS,Customer Effort Score,2021-08-04T10:09:37.000Z,2021-08-04,mercredi,août,False,desktop,Mobilier d'intérieur,False,,Edge 85.0.564,Meuble de salon,Spanish,ES,Produce Shop ES (ES),False,1,FALSE,0,"279,95",visa,Windows 10,SEO-BRAND,False,0,201 - 300,False,Delivery > Speed of delivery > 1,,True
2348,2348,295565672,shipping costs conter twice,frais de port conter deux fois,9,NPS,Customer Effort Score,2021-08-04T12:17:45.000Z,2021-08-04,mercredi,août,False,desktop,Luminaire,False,,Chrome 92.0.4515,Ampoule,French,FR,ECD-Germany (FR),False,3,FALSE,"15,5","96,71",visa,Windows 7,SEM,False,11 - 20,1 - 100,False,Delivery > Shipping Fees > -1,,True
2441,2441,295563381,I've an account. It was just a few clicks to complete the order and delivery. Great!,I've an account. It was just a few clicks to complete the order and delivery. Great!,10,NPS,Customer Effort Score,2021-08-04T14:33:29.000Z,2021-08-04,mercredi,août,False,phone,"Salle de bain, WC",False,,Chrome Mobile 92.0.4515,Douche et baignoire,English,GB,Plumbworld (GB),True,1,FALSE,0,"89,99",paypal,Android 10,SHOPBOT,False,0,1 - 100,False,Account > Account Management > 1;Online Experience > Ease of Use > 1;Order > Quality > 1,,True
2461,2461,295561793,"I take 3 pots of fat, 3 different suppliers and 3 times shipping costs. G's mess...","je prend 3 pots de graisse, 3 fournisseurs différents et 3 fois des frais de port. Du foutage de G...",2,NPS,Customer Effort Score,2021-08-04T15:02:54.000Z,2021-08-04,mercredi,août,False,desktop,Revêtement sol et mur,False,J’ai trouvé que les frais de port étaient trop chers,Opera 77.0.4054,Produit d'entretien et de restauration,French,FR,Brico Concept (FR),False,3,FALSE,"6,49","51,28",paypal,Windows 10,SEO-BRAND,False,6 - 10,1 - 100,False,Company / Brand > Suppliers > -1;Delivery > Shipping Fees > -1,Detractor '- Delivery Fees,True
2499,2499,295564077,"For the order, waiting for delivery now...","Pour la commande 👌👍, en attente de livraison maintenant....",10,NPS,Customer Effort Score,2021-08-04T15:48:08.000Z,2021-08-04,mercredi,août,False,phone,Outillage,False,,Chrome Mobile 92.0.4515,...,French,FR,Greaden (FR),True,1,FALSE,0,"9,99",visa,Android 11,SHOPBOT,False,0,1 - 100,False,Delivery > Speed of delivery > 0,,True
2593,2593,295564285,I did not benefit from the free delivery yet promised during my navigation on the site.,je n'ai pas beneficié de la livraison gratuite pourtant promise lors de ma navigation sur le site.,7,NPS,Customer Effort Score,2021-08-04T17:35:51.000Z,2021-08-04,mercredi,août,False,desktop,Mobilier d'intérieur,False,,Chrome 92.0.4515,Décoration,French,FR,HXA DECO (FR),True,4,FALSE,"5,9","93,9",paypal,Windows 10,AFFILIATION,False,1 - 5,1 - 100,False,Product > Instructions Detail > -1;Delivery > Shipping Fees > -1,,True
2626,2626,295562409,"Quick and easy, I hope the delivery will be that way.","Rápido y fácil, espero que la entrega sea asi",10,NPS,Customer Effort Score,2021-08-04T18:40:15.000Z,2021-08-04,mercredi,août,False,phone,Luminaire,False,,Samsung Internet 14.2,Eclairage d'intérieur,Spanish,ES,STOEX (ES),True,1,FALSE,0,"43,88",paypal,Android 10,SHOPBOT,False,0,1 - 100,False,Delivery > Speed of delivery > 0;Online Experience > Ease of Use > 1,,True
2705,2705,295562447,I wish the delivery was as soon as possible.,Deseo que la entrega sea lo antes posible. Gracias.,10,NPS,Customer Effort Score,2021-08-04T21:29:57.000Z,2021-08-04,mercredi,août,False,phone,Jardin piscine,False,,Chrome Mobile 92.0.4515,Barbecue et plancha,Spanish,ES,Ferreterías Industriales (ES),True,1,FALSE,0,"29,95",mastercard,Android 9,SHOPBOT,False,0,1 - 100,False,Delivery > Speed of delivery > 0,,True
2709,2709,295562822,Grouping the shipments would facilitate their delivery,Agrupar los envios facilitaria su entrega,7,NPS,Customer Effort Score,2021-08-04T21:46:57.000Z,2021-08-04,mercredi,août,False,desktop,Construction matériaux,False,,Firefox 90.0,Maçonnerie,Spanish,ES,FerrVTC (ES),False,8,FALSE,"36,43","116,79",paypal,Windows 10,RETARGETING,False,20 - 50,101 - 150,False,Delivery > Quality > -1,,True
2715,2715,297819439,If the price of the delivery was indicated on the product announcement it will be fold simple!,Si le prix de la livraison était indiqué sur l’annonce du produit ce serai plis simple !,9,NPS,Customer Effort Score,2021-08-04T22:06:03.000Z,2021-08-04,mercredi,août,False,phone,Mobilier d'intérieur,False,,Mobile Safari UI/WKWebView,Meuble de bureau,French,FR,ID Market (FR),True,1,FALSE,"23,9","73,89",mastercard,iOS 14.6,SEM,False,20 - 50,1 - 100,False,Online Experience > Ease of Use > 1;Delivery > Shipping Fees > -1,,True
2741,2741,297819591,"You can't rule out 12 euro delivery, and what the hell?","non si riesce a escludere la consegna da 12 euro, e che cavolo!",7,NPS,Customer Effort Score,2021-08-05T05:31:27.000Z,2021-08-05,jeudi,août,False,desktop,Outillage,True,,Chrome 92.0.4515,Outillage électroportatif,Italian,IT,Todo Taladros (IT),False,1,FALSE,12,266,mastercard,Windows 10,DIRECT_ACCESS,False,11 - 20,201 - 300,False,Delivery > Shipping Fees > -1,,True
