,Unnamed: 0,id,comment,original_comment,score,data_scale,data_source,created_at,date,day,month,is_mf,device,family,is_b2b,reason,browser,category,language,platform,provider,first_order,nb_articles,csat_presales,shipping_fees,bv_transaction,payment_method,operating_system,last_paid_channel,has_presales_contact,shipping_fees_bucket,bv_transaction_bucket,has_manodvisor_contact,themes,tags,shipment
225,225,295562865,I often order at manomano and I am never disappointed for the moment.,je commande souvent chez manomano et je ne suis pour le moment jamais déçu .,10,NPS,Customer Effort Score,2021-08-01T11:32:42.000Z,2021-08-01,dimanche,août,False,desktop,Luminaire,False,,Chrome 92.0.4515,Ampoule,French,FR,Caravaning Univers (FR),False,1,FALSE,"4,15","66,45",mastercard,Windows 7,RETARGETING,False,1 - 5,1 - 100,False,Service > General Satisfaction > 1,,False
231,231,295562248,Very easy and fast,Très facile et rapide,9,NPS,Customer Effort Score,2021-08-01T11:44:43.000Z,2021-08-01,dimanche,août,False,phone,Mobilier d'intérieur,False,,Chrome Mobile WebView 92.0.4515,Meuble de chambre,French,FR,ID Market (FR),False,1,FALSE,"21,9","89,89",paypal,Android 10,RETARGETING,False,20 - 50,1 - 100,False,Delivery > Speed of delivery > 1;Online Experience > Ease of Use > 1,,False
239,239,295562183,Top to buy quality material.,Top pour acheter du matériel de qualité.,10,NPS,Customer Effort Score,2021-08-01T11:55:08.000Z,2021-08-01,dimanche,août,False,phone,Electricité,False,,Mobile Safari 14.1.1,Interrupteurs et prises,French,FR,AVB Negoce (FR),False,1,FALSE,"8,6","56,5",mastercard,iOS 14.6,SHOPBOT,False,6 - 10,1 - 100,False,Product > Material Quality > 1,,False
243,243,295562642,Delivery costs too high,frais de livraison  trop chéres,5,NPS,Customer Effort Score,2021-08-01T12:00:02.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,J’ai trouvé que les frais de port étaient trop chers | Je n’ai pas trouvé facilement les produits que je cherchais,Chrome 92.0.4515,Outils de jardin motorisés,French,FR,Jardinvest (FR),False,2,FALSE,"14,52","70,3",paypal,Windows 10,DIRECT_ACCESS,False,11 - 20,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Finding Products; Detractor - Delivery Fees,False
246,246,295565714,"Process of choice, order and payment simple and fast. All right.","Processus de choix, commande et paiement simple et rapide. Très bien.",9,NPS,Customer Effort Score,2021-08-01T12:01:39.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Outils de jardin motorisés,French,FR,motodox (FR),False,1,FALSE,"8,9","43,89",visa,Windows 10,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Online Experience > Ease of Use > 1;Product > Range > 1;Payments > Payment Security > 1,,False
248,248,295563929,"It says the delivery is free, when you pay, it gets paid, it's not cool","C'est écrit que la livraison est gratuite, au moment de payer, ça devient payant, c'est pas cool",5,NPS,Customer Effort Score,2021-08-01T12:06:04.000Z,2021-08-01,dimanche,août,False,desktop,"Salle de bain, WC",False,J’ai manqué d’options pour me faire livrer,Other,Douche et baignoire,French,FR,Plomberie Pro (FR),True,1,FALSE,"6,5","11,82",cb,Other,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Product > Instructions Detail > -1;Delivery > Shipping Fees > -1,Detractor '- Delivery Options,True
264,264,295563732,Nothing to say is clear.,Rien à dire tout est clair,10,NPS,Customer Effort Score,2021-08-01T12:33:38.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Firefox 90.0,Matériel d'arrosage et récupérateurs d'eau,French,FR,WilTec (FR),False,2,FALSE,"10,5","62,06",paypal,Windows 10,SEM,False,6 - 10,1 - 100,False,Online Experience > Design / Layout > 1,,False
276,276,295563570,Simple effective. Thank you.,Simple efficace. Merci,10,NPS,Customer Effort Score,2021-08-01T12:47:53.000Z,2021-08-01,dimanche,août,False,phone,Electricité,False,,Chrome Mobile 92.0.4515,Tableau électrique,French,FR,Elec-Destock (FR),False,3,FALSE,"5,49","87,81",mastercard,Android 11,AFFILIATION,False,1 - 5,1 - 100,False,Service > Efficiency / Reliability > 1;Online Experience > Ease of Use > 1,,False
296,296,295563247,"Thank you for delivering as soon as possible, we are stuck on a construction site","Merci de livrer au plus vite, nous sommes bloqué sur un chantier",7,NPS,Customer Effort Score,2021-08-01T13:21:58.000Z,2021-08-01,dimanche,août,False,phone,Outillage,False,,Chrome Mobile iOS 92.0.4515,Outillage spécialisé,French,FR,Schwemmer & Dorn Outillage (FR),True,1,FALSE,"11,5","80,33",visa,iOS 14.7,SHOPBOT,False,11 - 20,1 - 100,False,Delivery > Speed of delivery > 0,,False
303,303,295562779,"Yes, very fast.",Oui tres facile rapide,10,NPS,Customer Effort Score,2021-08-01T13:26:52.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Piscine,French,FR,JardiDéco (FR),False,1,FALSE,"5,99","46,44",visa,iOS 14.6,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Delivery > Speed of delivery > 1,,False
325,325,295563091,Nothing to say.,rien a dire,8,NPS,Customer Effort Score,2021-08-01T14:00:58.000Z,2021-08-01,dimanche,août,False,desktop,Electricité,False,,Chrome 92.0.4515,Tableau électrique,French,FR,La Maison Electrique (FR),True,2,FALSE,"3,98","18,6",paypal,Windows 10,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Other > Miscellaneous > 0,,False
329,329,295562023,Article fairly detailed,Article assez détaillé,9,NPS,Customer Effort Score,2021-08-01T14:06:02.000Z,2021-08-01,dimanche,août,False,phone,Luminaire,False,,Chrome Mobile 92.0.4515,Ampoule,French,FR,Mon Habitat Electrique (FR),False,1,FALSE,8,"21,04",paypal,Android 11,SEM,False,6 - 10,1 - 100,False,Product > Instructions Detail > 1,,False
330,330,295562485,All right.,Très bien,8,NPS,Customer Effort Score,2021-08-01T14:08:06.000Z,2021-08-01,dimanche,août,False,desktop,Outillage,True,,Chrome 92.0.4515,Accessoire et consommables pour outillage électroportatif,French,FR,Probois (FR),False,4,FALSE,"32,79","120,28",paypal,Windows 10,SHOPBOT,False,20 - 50,101 - 150,False,Service > General Satisfaction > 1,,False
359,359,295563752,I like this site. fast reception and affordable prices,J'aime bien ce site. réception rapide et prix abordables,10,NPS,Customer Effort Score,2021-08-01T14:58:42.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Safari 14.1.2,Plante et soin des végétaux,French,FR,Comptoir des Jardins (FR),False,1,FALSE,"6,9","30,8",paypal,Mac OS X 10.15.7,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Speed of delivery > 1;Online Experience > Quality > 1;Product > Value for Money > 1,,False
367,367,295563750,"All right, no need to create an account to order","Très bien, pas besoin de créer un compte pour commander",10,NPS,Customer Effort Score,2021-08-01T15:03:16.000Z,2021-08-01,dimanche,août,False,desktop,Quincaillerie,False,,Firefox 90.0,Pièces détachées,French,FR,Recamania FR (FR),True,2,FALSE,"3,95","92,15",paypal,Windows 8.1,SHOPBOT,False,1 - 5,1 - 100,False,Account > Account Management > 1;Order > Quality > 1,,False
385,385,295562297,This is my first order at Manomano; I didn't encounter any difficulties.,C’est ma première commande chez Manomano ; je n’ai rencontré aucune difficulté.,9,NPS,Customer Effort Score,2021-08-01T15:32:00.000Z,2021-08-01,dimanche,août,False,phone,Plomberie chauffage,False,,Mobile Safari 14.1.1,Robinetterie,French,FR,Ceramic Store (FR),True,1,FALSE,"9,99","106,47",mastercard,iOS 14.6,SHOPBOT,False,6 - 10,101 - 150,False,Service > General Satisfaction > 1,,False
394,394,295563290,"It's just a little messy, but it's okay.","Solo un po' macchinoso, ma tutto bene",7,NPS,Customer Effort Score,2021-08-01T15:45:44.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Safari 14.1,Mobilier de jardin et jeux,Italian,IT,Yeppon (IT),True,1,FALSE,"8,9","108,88",paypal,Mac OS X 10.15.7,SEO-SEARCH,False,6 - 10,101 - 150,False,Online Experience > Ease of Use > -1,,False
399,399,295563190,All right.,Très bien,9,NPS,Customer Effort Score,2021-08-01T15:55:22.000Z,2021-08-01,dimanche,août,False,phone,Quincaillerie,False,,Chrome Mobile 92.0.4515,Pièces détachées,French,FR,DOMO ONLINE (FR),True,1,FALSE,"7,5","11,24",paypal,Android 9,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
406,406,295561837,"veryeasy, intuitive site","TRESFACILE, SITE INTUITIF",9,NPS,Customer Effort Score,2021-08-01T16:02:42.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,"Abri, garage et rangement extérieur",French,FR,Habitat&Jardin (FR),True,1,FALSE,40,448,visa,Windows 10,SHOPBOT,False,20 - 50,401 - 500,False,Online Experience > Ease of Use > 1,,False
424,424,295562484,Always a pleasure to buy from you,Toujours un plaisir d'acheter chez vous,7,NPS,Customer Effort Score,2021-08-01T16:17:53.000Z,2021-08-01,dimanche,août,False,phone,Electricité,True,,Chrome Mobile 91.0.4472,"Domotique, automatismes et sécurité",French,FR,DOMO ONLINE (FR),False,1,FALSE,9,"116,82",mastercard,Android 10,SHOPBOT,False,6 - 10,101 - 150,False,Service > General Satisfaction > 1,,False
438,438,295561779,Nothing more to say. It was very easy.,Rien à dire de plus. C'était très facile,10,NPS,Customer Effort Score,2021-08-01T16:34:32.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Terrasse et revêtement de sol extérieur,French,FR,Art-Garden (FR),False,1,FALSE,"6,9","100,86",mastercard,Windows 10,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Online Experience > Ease of Use > 1,,False
486,486,295562225,Nikel nothing to say,Nikel rien à dire,10,NPS,Customer Effort Score,2021-08-01T17:24:46.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Chrome Mobile 91.0.4472,Barbecue et plancha,French,FR,WilTec (FR),True,1,FALSE,"10,5","62,45",mastercard,Android 11,SHOPBOT,False,6 - 10,1 - 100,False,Other > Miscellaneous > 0,,False
500,500,295561909,"On products already ordered previously, it would be wise to have an option to recommend!","Sur les produits déjà commandés précédemment, il serait judicieux d'avoir une option recommander !",6,NPS,Customer Effort Score,2021-08-01T17:41:41.000Z,2021-08-01,dimanche,août,False,desktop,Plomberie chauffage,False,J’ai manqué d’options pour me faire livrer | J’ai trouvé que les frais de port étaient trop chers,Chrome 92.0.4515,Chauffage et climatisation,French,FR,Proachats (FR),False,3,FALSE,"12,4","144,37",visa,Windows 10,DIRECT_ACCESS,False,11 - 20,101 - 150,False,Other > Miscellaneous > 0,new services; Detractor '- Delivery Fees; Detractor - Delivery Options,False
507,507,295562457,Perfect except price of double transport,Parfait sauf prix du double transport,8,NPS,Customer Effort Score,2021-08-01T17:49:01.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Safari 14.0.3,Piscine,French,FR,Nouveaux Marchands (FR),False,3,FALSE,"12,89","139,37",visa,Mac OS X 10.15.6,SHOPBOT,False,11 - 20,101 - 150,False,Delivery > Shipping Fees > -1;Service > General Satisfaction > 1,,False
512,512,295563081,beautiful items at a good price,bellissimi articoli a buon prezzo,10,NPS,Customer Effort Score,2021-08-01T17:56:49.000Z,2021-08-01,dimanche,août,False,desktop,Revêtement sol et mur,False,,Chrome 92.0.4515,"Papier peint, toile de verre et frise",Italian,IT,Signorbit (IT),True,1,FALSE,11,"189,8",visa,Windows 10,SHOPBOT,False,11 - 20,151 - 200,False,Product > Quality > 1;Product > Value for Money > 1,,False
530,530,295562386,Very happy,très contente,10,NPS,Customer Effort Score,2021-08-01T18:17:49.000Z,2021-08-01,dimanche,août,False,desktop,Outillage,False,,Chrome 92.0.4515,Matériel et aménagement de l'atelier,French,FR,Maxter Accessoires (FR),False,1,FALSE,"6,9","23,4",mastercard,Windows 10,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
536,536,295562258,"Always satisfied with the purchases on your site very easy to use, thank you","Toujours satisfait des achats sur votre site très simple d'utilisation,  merci",8,NPS,Customer Effort Score,2021-08-01T18:34:48.000Z,2021-08-01,dimanche,août,True,phone,Luminaire,False,,Chrome Mobile 92.0.4515,Eclairage d'intérieur,French,FR,B.K. Licht MF (FR),False,2,FALSE,"2,99","36,68",visa,Android 10,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Online Experience > Ease of Use > 1,,False
538,538,295562235,Easy to order and answer very fast and efficient when asking a question,Facile pour commander et réponse trés rapide et efficace lorsque l'on pose une question,9,NPS,Customer Effort Score,2021-08-01T18:37:19.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Mobilier de jardin et jeux,French,FR,SoBuy (FR),True,1,FALSE,"9,99","79,94",visa,Windows 10,RETARGETING,False,6 - 10,1 - 100,False,Service > Efficiency / Reliability > 1;Online Experience > Ease of Use > 1;Support > Responsiveness > 1,,False
543,543,295563177,All right.,Très bien,10,NPS,Customer Effort Score,2021-08-01T18:44:54.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Piscine,French,FR,Raviday (FR),False,1,FALSE,"9,9","39,7",mastercard,iOS 14.6,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
558,558,295564128,First order... all good... at least I hope!!!,Primo ordine.....tutto bene....almeno spero!!!,9,NPS,Customer Effort Score,2021-08-01T19:06:36.000Z,2021-08-01,dimanche,août,False,tablet,Revêtement sol et mur,False,,Chrome 91.0.4472,Produit d'entretien et de restauration,Italian,IT,Net Coatings (IT),True,1,FALSE,"7,5","27,48",paypal,Android 7.1.1,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
585,585,295563380,Obligation to create a painful account,Obligation de créer un compte pénible,9,NPS,Customer Effort Score,2021-08-01T19:43:49.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Google 169.1.385914506,Mobilier de jardin et jeux,French,FR,WilTec (FR),True,1,FALSE,"10,5","54,45",mastercard,iOS 14.7,SHOPBOT,False,6 - 10,1 - 100,False,Account > Account Management > -1,,False
600,600,295565678,Fast and effective,Rapide et efficace,10,NPS,Customer Effort Score,2021-08-01T20:04:19.000Z,2021-08-01,dimanche,août,False,phone,Animalerie,False,,Chrome Mobile 92.0.4515,Chien,French,FR,MUPAIMY (FR),True,2,FALSE,"15,9","99,87",visa,Android 11,SHOPBOT,False,11 - 20,1 - 100,False,Delivery > Speed of delivery > 1;Service > Efficiency / Reliability > 1,,False
603,603,295563524,"I didn't get to buy the product I needed and I tried another credit card and I finally got to buy it, I talked to three agents at least and there was no way I could buy it with the credit card.","No conseguí a comprar el producto que necesitaba y probé con otra tarjeta de crédito y al fin he podido comprarlo, he hablado con tres agentes por lo menos y no había forma de poder comprar con la tarjeta de crédito",7,NPS,Customer Effort Score,2021-08-01T20:07:37.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Chrome Mobile 92.0.4515,Piscine,Spanish,ES,Electropolis (ES),False,1,bad,"5,95","22,54",mastercard,Android 11,RETARGETING,True,1 - 5,1 - 100,False,Payments > Payment Methods > -1;Payments > Success of payment > -1,,False
652,652,295563583,How can I give my details to invoice in the name of a Community of Goods?,Como puedo dar mis datos para facturar a nombre de una Comunidad de Bienes ?,9,NPS,Customer Effort Score,2021-08-01T22:23:00.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Mobilier de jardin et jeux,Spanish,ES,Orion91 (ES),False,1,FALSE,"4,99","50,89",visa,iOS 14.6,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Payments > Invoice / Billing > -1,,False
658,658,295563145,Fast and agile,Rápido y ágil,10,NPS,Customer Effort Score,2021-08-01T23:29:30.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Chrome Mobile 91.0.4472,Mobilier de jardin et jeux,Spanish,ES,Orion91 (ES),True,1,FALSE,"4,99","60,09",paypal,Android 9,RETARGETING,False,1 - 5,1 - 100,False,Delivery > Speed of delivery > 1;Online Experience > Ease of Use > 1,,False
679,679,295562396,manomano is a great site,MANOMANO est un SUPER SITE,10,NPS,Customer Effort Score,2021-08-02T05:36:13.000Z,2021-08-02,lundi,août,False,desktop,Revêtement sol et mur,False,,Edge 91.0.864,Peinture intérieure,French,FR,Arcane Industries (FR),False,2,FALSE,"16,7","93,36",paypal,Windows 10,SHOPBOT,False,11 - 20,1 - 100,False,Online Experience > Quality > 1,,False
688,688,295563152,very well for secure payment (telephone code) cordially,tres bien pour le paiement securisé (code par telephone) cordialement,8,NPS,Customer Effort Score,2021-08-02T06:15:45.000Z,2021-08-02,lundi,août,False,tablet,Luminaire,False,,Chrome 92.0.4515,Ampoule,French,FR,Desineo (FR),False,1,FALSE,"4,9","256,83",visa,Android 10,DIRECT_ACCESS,False,1 - 5,201 - 300,False,Payments > Payment Security > 1,,False
693,693,295562687,Complicated when you don't know your password anymore,Compliqué quand on ne sait plus son mot de passe,2,NPS,Customer Effort Score,2021-08-02T06:32:12.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,J’ai eu des difficultés à m'inscrire ou à me connecter,Chrome 92.0.4515,Outils de jardin motorisés,French,FR,GT GROUP (FR),False,1,FALSE,"14,9","144,8",mastercard,Windows 8.1,DIRECT_ACCESS,False,11 - 20,101 - 150,False,Account > Account Management > -1,Detractor '- Signup/Login,False
726,726,295563596,I love your site I always find what I want,j'adore votre site je trouve toujours ce que je veux,10,NPS,Customer Effort Score,2021-08-02T07:29:55.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 91.0.4472,Mobilier de jardin et jeux,French,FR,BricooMarket FR (FR),False,1,FALSE,2,42,visa,Windows 8.1,SEM,False,1 - 5,1 - 100,False,Online Experience > Quality > 1;Product > Stock / Availability > 1,,False
744,744,295561804,All right.,Très bien,8,NPS,Customer Effort Score,2021-08-02T07:52:17.000Z,2021-08-02,lundi,août,False,phone,Outillage,False,,Samsung Internet 11.0,Equipement de protection EPI,French,FR,WilTec (FR),True,1,FALSE,"10,5","25,45",paypal,Android 11,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
780,780,295562479,shipping costs too high!!!,FRAIS DE PORT TROP ELEVE !!!!,2,NPS,Customer Effort Score,2021-08-02T08:42:27.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,J’ai manqué d’options pour me faire livrer | J’ai trouvé que les frais de port étaient trop chers,Chrome 92.0.4515,Mobilier de jardin et jeux,French,FR,ID Market (FR),False,1,FALSE,"23,9","93,89",visa,Windows 10,SEM,False,20 - 50,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Fees; Detractor - Delivery Options,True
789,789,295561989,no problem,pas de problème,10,NPS,Customer Effort Score,2021-08-02T08:53:32.000Z,2021-08-02,lundi,août,False,desktop,Electricité,True,,Chrome 92.0.4515,Alimentation,French,FR,MTS (FR),False,1,FALSE,"10,9","170,7",visa,Windows 10,SHOPBOT,False,6 - 10,151 - 200,False,Service > General Satisfaction > 1,,False
794,794,295563977,Good and practical,Bien et pratique,10,NPS,Customer Effort Score,2021-08-02T09:01:58.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 91.0.4472,Piscine,French,FR,Arebos (FR),True,2,FALSE,"6,29","117,69",paypal,Mac OS X 10.14.6,AFFILIATION,False,6 - 10,101 - 150,False,Service > Convenience > 1;Product > Quality > 1,,False
808,808,295563528,no comments yet,pas de commentaires pour l'instant,8,NPS,Customer Effort Score,2021-08-02T09:12:36.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,"Portail, grillage et occultation",French,FR,Mon Magasin Général (FR),True,1,FALSE,"8,9","26,83",visa,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Other > Miscellaneous > 0,,False
815,815,295564167,I'm used to ordering at home because they're serious.,j'ai l'habitude de commander chez eux car ils sont sérieux,9,NPS,Customer Effort Score,2021-08-02T09:19:09.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Piscine,French,FR,Maxoutil (FR),False,1,FALSE,"5,9","9,5",paypal,Windows 10,SHOPBOT,False,1 - 5,1 - 100,False,Order > Quality > 1,,False
879,879,295565650,Clear and fluid site,Site fluide et clair,10,NPS,Customer Effort Score,2021-08-02T10:26:10.000Z,2021-08-02,lundi,août,False,desktop,Outillage,False,,Chrome 91.0.4472,Levage et travail en hauteur,French,FR,Mon Magasin Général (FR),False,1,FALSE,"14,9","291,1",oney3x,Windows 10,SEO-BRAND,False,11 - 20,201 - 300,False,Online Experience > Ease of Use > 1,,False
887,887,295562109,Very simple,Très simple,8,NPS,Customer Effort Score,2021-08-02T10:37:14.000Z,2021-08-02,lundi,août,False,phone,"Salle de bain, WC",False,,Chrome Mobile 92.0.4515,Lavabos,French,FR,Planetebain (FR),True,1,FALSE,15,60,mastercard,Android 9,SHOPBOT,False,11 - 20,1 - 100,False,Online Experience > Ease of Use > 1,,False
